Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,_L_NP_03_08_01_1,,Y15T49,PT,68.3
2019,_L_NP_03_08_01_1,,Y15T49,PT,88.8
2019,_L_NP_03_08_01_1,NP1,Y15T49,PT,84.2
2019,_L_NP_03_08_01_1,NP2,Y15T49,PT,86.1
2019,_L_NP_03_08_01_1,NP3,Y15T49,PT,90.6
2019,_L_NP_03_08_01_1,NP4,Y15T49,PT,86.9
2019,_L_NP_03_08_01_1,NP5,Y15T49,PT,92.4
2019,_L_NP_03_08_01_1,NP6,Y15T49,PT,85.1
2019,_L_NP_03_08_01_1,NP7,Y15T49,PT,95.9
2014,_L_NP_03_08_01_2,,Y15T49,PT,59.5
2019,_L_NP_03_08_01_2,,Y15T49,PT,77.8
2019,_L_NP_03_08_01_2,NP1,Y15T49,PT,80.3
2019,_L_NP_03_08_01_2,NP2,Y15T49,PT,56.8
2019,_L_NP_03_08_01_2,NP3,Y15T49,PT,87.2
2019,_L_NP_03_08_01_2,NP4,Y15T49,PT,91.2
2019,_L_NP_03_08_01_2,NP5,Y15T49,PT,80.7
2019,_L_NP_03_08_01_2,NP6,Y15T49,PT,72.3
2019,_L_NP_03_08_01_2,NP7,Y15T49,PT,88.0
2019,_L_NP_03_08_01_3,,Y15T49,PT,5.4
2019,_L_NP_03_08_01_3,NP1,Y15T49,PT,3.9
2019,_L_NP_03_08_01_3,NP2,Y15T49,PT,5.3
2019,_L_NP_03_08_01_3,NP3,Y15T49,PT,15.6
2019,_L_NP_03_08_01_3,NP4,Y15T49,PT,3.7
2019,_L_NP_03_08_01_3,NP5,Y15T49,PT,1.4
2019,_L_NP_03_08_01_3,NP6,Y15T49,PT,0.9
2019,_L_NP_03_08_01_3,NP7,Y15T49,PT,0.0
2014,_L_NP_03_08_01_4,,,PT,50.1
2019,_L_NP_03_08_01_4,,,PT,82.0
2019,_L_NP_03_08_01_4,NP3,,PT,-69.1
2019,_L_NP_03_08_01_4,NP5,,PT,-94.3
2019,_L_NP_03_08_01_4,NP7,,PT,-94.2
